# MODIFIED BY M. Wild: Concatenated from b4f3/Radial Means/b4f3b*_Fav.txt
#
# Jet bulk velocity 108 m/s.
#
# Mass fractions in percent, NO and NORMS multiplied by 100.
#
# X/Db 	R(mm)	ZI	ZIRMS	T(K)	TRMS	O2	N2	H2	H20	CO	CO2	C-H	OH	NOx100	TNDR	O2RMS	N2RMS	H2RMS	H20RMS	CORMS	CO2RMS	C-HRMS	OHRMS	NORMS	TNDRRMS
#
0.9	0.50	0.6622	0.0713	 581	  83	0.8410	22.6100	6.7792	5.1920	1.6620	3.3960	58.0540	0.00000	0.0512	1.1360	0.6580	5.1800	0.8404	1.2080	0.4790	0.9820	6.8160	0.00000	0.0164	0.0370
0.9	1.50	0.6385	0.0769	 614	  97	0.6980	24.4400	6.4852	5.6200	1.8450	3.5930	55.8140	0.00000	0.0572	1.1500	0.6140	5.7800	0.9120	1.3270	0.5260	0.9510	7.3460	0.00000	0.0201	0.0370
0.9	2.50	0.5812	0.0852	 695	 118	0.4840	28.9700	5.8095	6.6240	2.2080	3.9910	50.3400	0.00000	0.0709	1.1640	0.5680	6.4000	0.9976	1.4600	0.6330	1.0470	8.1390	0.00000	0.0261	0.0370
0.9	4.50	0.4256	0.0919	 954	 155	0.1890	41.3400	3.9991	9.3730	3.4440	4.7050	35.5200	0.00020	0.1253	1.1690	0.3290	7.2400	0.9595	1.5960	0.7120	1.0130	8.9780	0.00130	0.0464	0.0520
0.9	8.50	0.1950	0.0660	1423	 167	0.1820	60.1500	1.6432	13.4480	4.8120	5.8260	13.0490	0.01500	0.2647	1.0390	0.5700	4.9500	0.6007	1.1980	0.6250	1.0180	6.5280	0.04640	0.0829	0.0630
0.9	12.50	0.0985	0.0532	1722	 212	1.7210	65.3300	0.6805	14.4340	4.5600	7.2360	4.1040	0.08110	0.4142	1.0100	2.1760	4.9400	0.4827	1.2130	1.4340	1.5080	4.8440	0.11260	0.1389	0.0620
0.9	16.50	0.0535	0.0246	1861	 164	3.8690	70.4900	0.2120	13.1640	2.5410	7.9190	0.6070	0.19740	0.5110	1.0080	2.8970	6.1500	0.2393	1.8910	2.0000	1.2520	1.9100	0.12270	0.1250	0.0750
0.9	18.50	0.0434	0.0099	1876	 161	4.9550	73.1500	0.0893	12.2050	1.5190	7.8500	0.0830	0.22260	0.5516	1.0040	3.0580	3.8700	0.1092	2.0260	1.6420	1.2580	0.2420	0.09420	0.1289	0.0460
0.9	20.40	0.0384	0.0126	1751	 238	6.7690	74.4200	0.0712	10.9060	0.7480	7.3660	0.1050	0.20520	0.4963	0.9870	3.7470	1.6300	0.0990	2.2480	1.2230	1.5500	0.6680	0.09340	0.1355	0.0270
0.9	22.40	0.0252	0.0117	1359	 401	12.0150	74.9000	0.0262	7.7480	0.3770	5.2030	0.0200	0.12040	0.3441	0.9870	5.0990	0.8600	0.0338	2.9310	0.5790	2.3590	0.0480	0.09650	0.1871	0.0320
0.9	24.40	0.0083	0.0075	 662	 305	19.5940	75.6500	0.0079	3.2000	0.1050	1.5260	0.0150	0.02560	0.0898	0.9800	3.3350	0.6600	0.0130	1.8900	0.1700	1.6720	0.0370	0.04590	0.1011	0.0350
0.9	25.40	0.0034	0.0043	 441	 174	21.8240	75.7600	0.0064	1.8850	0.0570	0.5170	0.0080	0.01200	0.0319	0.9880	1.9620	0.5000	0.0078	1.0800	0.2380	0.8650	0.0190	0.02060	0.0500	0.0260
1.3	-27.00	0.0005	0.0005	 298	   6	23.1870	75.8000	0.0019	0.9750	0.0020	0.0260	0.0110	0.00860	0.0001	1.0260	0.3340	0.3400	0.0028	0.0640	0.0020	0.0340	0.0110	0.00840	0.0007	0.0100
1.3	-26.00	0.0004	0.0005	 302	  12	23.2090	75.7500	0.0022	1.0060	0.0030	0.0290	0.0030	0.00480	0.0003	1.0260	0.3510	0.3300	0.0031	0.0940	0.0030	0.0350	0.0070	0.00620	0.0019	0.0110
1.3	-25.00	0.0009	0.0013	 320	  51	22.9680	75.8500	0.0036	1.1090	0.0100	0.0660	0.0040	0.01310	0.0032	1.0270	0.6600	0.3900	0.0041	0.3150	0.0220	0.2060	0.0090	0.00930	0.0126	0.0130
1.3	-23.90	0.0014	0.0020	 346	  78	22.7360	75.8600	0.0026	1.2620	0.0140	0.1320	0.0060	0.01110	0.0075	1.0280	0.9570	0.4100	0.0037	0.5060	0.0190	0.3360	0.0110	0.00990	0.0191	0.0150
1.3	-22.90	0.0029	0.0035	 408	 136	22.0380	75.9200	0.0058	1.6770	0.0270	0.3510	0.0120	0.00810	0.0195	1.0270	1.5670	0.4500	0.0072	0.8840	0.0580	0.6270	0.0190	0.01170	0.0332	0.0190
1.3	-21.90	0.0055	0.0049	 526	 202	20.8120	75.9200	0.0031	2.4270	0.0400	0.8300	0.0080	0.00560	0.0446	1.0290	2.2330	0.5100	0.0060	1.2700	0.0310	0.9800	0.0180	0.00940	0.0512	0.0230
1.3	-20.90	0.0095	0.0060	 686	 258	19.0870	75.9000	0.0135	3.4130	0.0660	1.5530	0.0290	0.00920	0.0803	1.0310	2.6670	0.6600	0.0137	1.5930	0.0480	1.3020	0.0400	0.01810	0.0693	0.0250
1.3	-19.90	0.0138	0.0064	 894	 270	17.0640	75.6800	0.0123	4.6920	0.0940	2.5260	0.0150	0.01800	0.1295	1.0300	2.8560	0.7200	0.0175	1.7110	0.1170	1.4060	0.0330	0.03670	0.0810	0.0250
1.3	-18.90	0.0170	0.0092	1037	 277	15.7040	75.4300	0.0170	5.5770	0.1420	3.1980	0.0390	0.03230	0.1683	1.0340	3.1440	0.9200	0.0531	1.8600	0.3160	1.4430	0.4320	0.05810	0.0861	0.0230
1.3	-16.80	0.0237	0.0150	1248	 284	13.3900	74.9300	0.0508	7.0900	0.3080	4.1530	0.1430	0.07430	0.2202	1.0370	3.8580	1.6500	0.1102	2.3310	0.6160	1.5010	0.9380	0.09260	0.0867	0.0250
1.3	-15.80	0.0315	0.0258	1386	 303	11.2160	74.1700	0.0859	8.4350	0.6810	4.8270	0.3960	0.11360	0.2626	1.0340	4.8940	3.0900	0.1843	3.0650	1.1040	1.6060	1.7800	0.11810	0.1012	0.0320
1.3	-14.80	0.0456	0.0438	1484	 297	9.0810	72.5500	0.2036	9.7850	1.2340	5.3830	1.1880	0.12660	0.2655	1.0370	5.3860	5.1000	0.3597	3.3360	1.5350	1.8250	3.4670	0.11620	0.0955	0.0450
1.3	-12.80	0.0935	0.0789	1612	 258	4.5390	67.5200	0.6298	12.5020	2.6160	6.0780	4.6150	0.12130	0.2985	1.0440	4.9680	6.9800	0.7013	2.9320	1.7180	1.6750	6.9600	0.13070	0.1039	0.0590
1.3	-10.70	0.1755	0.0929	1521	 239	1.2570	60.9200	1.4068	13.3840	3.6530	5.6880	11.6770	0.04510	0.2507	1.0750	2.5540	6.5200	0.8359	1.7710	1.0220	1.5540	8.8450	0.09440	0.0981	0.0690
1.3	-8.70	0.2522	0.0881	1352	 209	0.3060	55.7300	2.1596	12.5570	3.6820	4.8610	18.8980	0.01430	0.2030	1.1160	1.0370	6.6400	0.8100	1.5610	0.5860	1.0820	8.6470	0.05510	0.0749	0.0710
1.3	-6.70	0.3229	0.0751	1197	 150	0.1000	50.1700	2.8732	11.3420	3.3590	4.5230	25.7360	0.00150	0.1562	1.1610	0.3400	6.1600	0.7399	1.4110	0.4530	0.7820	7.3970	0.01840	0.0429	0.0580
1.3	-4.70	0.3987	0.0772	1041	 142	0.1490	43.9000	3.7137	9.9440	2.9630	4.3040	32.9970	0.00010	0.1255	1.1930	0.3030	6.2700	0.7940	1.4390	0.4610	0.7600	7.5670	0.00110	0.0563	0.0460
1.3	-2.60	0.4690	0.0748	 908	 127	0.2370	38.1500	4.4970	8.6490	2.5270	4.1920	39.7370	0.00000	0.0990	1.2040	0.3760	5.9400	0.8210	1.3770	0.4660	0.7890	7.2510	0.00000	0.0296	0.0390
1.3	-0.60	0.5221	0.0676	 812	 104	0.4060	33.6800	5.1212	7.6540	2.1930	4.0510	44.7940	0.00000	0.0805	1.2110	0.4880	5.2800	0.7514	1.1760	0.4020	0.8200	6.5390	0.00000	0.0235	0.0330
1.3	0.40	0.5242	0.0644	 807	  99	0.4190	33.4800	5.1418	7.6520	2.1810	4.0920	44.9960	0.00000	0.0799	1.2120	0.4890	4.9700	0.7415	1.1570	0.4020	0.8330	6.1870	0.00000	0.0221	0.0340
1.3	1.50	0.5274	0.0647	 806	 101	0.3150	33.3900	5.1503	7.6090	2.1690	3.9830	45.3280	0.00000	0.0795	1.2170	0.4330	5.0400	0.7427	1.1420	0.3960	0.8150	6.2160	0.00000	0.0229	0.0330
