# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  3.0   0.10  0.9900  0.0360   290.     3.  1.96E-01  4.18E-03  6.50E-01  5.67E-03  3.24E-06  1.15E-05  5.20E-04  1.47E-04  1.55E-01  5.57E-03  2.57E-05  8.83E-04  0.00E+00  8.48E-04  1.64E-07  6.96E-07  7.50E-08  7.70E-08  3.88E-05  6.35E-05
  3.0   0.24  0.9949  0.0360   297.    12.  1.95E-01  4.88E-03  6.49E-01  6.23E-03  9.03E-06  1.83E-05  7.75E-04  6.34E-04  1.55E-01  5.63E-03  1.33E-04  9.87E-04  9.52E-05  1.27E-03  2.34E-07  7.47E-07  1.77E-07  1.26E-07  1.26E-04  2.43E-04
  3.0   0.38  0.9706  0.0505   362.    74.  1.87E-01  1.04E-02  6.54E-01  8.22E-03  9.99E-05  1.11E-04  4.74E-03  4.89E-03  1.49E-01  9.52E-03  1.23E-03  2.03E-03  4.37E-03  5.05E-03  7.53E-07  6.76E-06  5.69E-07  6.25E-07  1.18E-03  1.25E-03
  3.0   0.51  0.8805  0.0848   610.   206.  1.56E-01  2.63E-02  6.68E-01  1.43E-02  5.27E-04  3.31E-04  2.22E-02  1.44E-02  1.26E-01  2.03E-02  8.03E-03  6.64E-03  2.06E-02  1.36E-02  9.81E-06  2.15E-05  3.17E-06  2.62E-06  6.68E-03  5.39E-03
  3.0   0.65  0.6239  0.1250  1348.   354.  6.85E-02  3.75E-02  6.99E-01  1.42E-02  1.37E-03  4.15E-04  7.42E-02  2.43E-02  5.79E-02  3.29E-02  2.96E-02  1.25E-02  7.03E-02  2.63E-02  3.71E-04  5.11E-04  1.83E-05  9.82E-06  2.81E-02  1.23E-02
  3.0   0.79  0.3386  0.0434  1934.    79.  3.27E-02  1.00E-02  7.25E-01  1.27E-02  5.59E-04  3.83E-04  1.05E-01  8.46E-03  3.17E-03  5.14E-03  1.57E-02  1.03E-02  1.12E-01  7.74E-03  2.92E-03  4.91E-04  3.02E-05  5.92E-06  1.87E-02  7.34E-03
  3.0   0.93  0.2539  0.0315  1793.   136.  6.50E-02  1.94E-02  7.36E-01  9.79E-03  8.05E-05  1.46E-04  8.86E-02  1.06E-02  6.53E-04  8.98E-04  1.95E-03  3.64E-03  1.04E-01  1.11E-02  1.87E-03  5.92E-04  1.63E-05  4.59E-06  3.49E-03  2.23E-03
  3.0   1.07  0.1909  0.0534  1476.   275.  1.04E-01  3.61E-02  7.43E-01  1.05E-02  2.53E-05  8.94E-05  6.86E-02  1.69E-02  2.36E-04  6.46E-04  3.97E-04  2.86E-03  8.29E-02  2.33E-02  6.55E-04  5.09E-04  9.66E-06  4.17E-06  7.70E-04  7.71E-04
  3.0   1.21  0.1383  0.0580  1185.   315.  1.39E-01  4.03E-02  7.48E-01  9.46E-03  1.50E-05  7.03E-05  5.19E-02  1.83E-02  1.47E-04  4.52E-04  1.65E-04  2.48E-03  6.00E-02  2.62E-02  2.40E-04  3.26E-04  6.06E-06  3.54E-06  4.14E-04  4.12E-04
  3.0   1.35  0.1175  0.0597  1059.   341.  1.53E-01  4.18E-02  7.50E-01  9.00E-03  7.47E-06  5.99E-05  4.50E-02  1.91E-02  3.51E-05  3.24E-04  0.00E+00  2.06E-03  5.18E-02  2.74E-02  1.27E-04  1.90E-04  5.09E-06  3.18E-06  2.89E-04  3.15E-04
