B4C1 Bluff-Body C2H4 Cold Flows, Mixture Fractions        
File Name =   b4c1a.dat
MODIFIED BY M. WILD, 2012-12-19: Reformated to add x column and removed sectioning

Axial(mm) Radial(mm)     Mean      RMS 

    23.00      8.80     0.181     0.044
    23.00      9.40     0.169     0.040
    23.00     10.00     0.154     0.040
    23.00     10.60     0.166     0.040
    23.00     11.20     0.181     0.048
    23.00     11.80     0.164     0.044
    23.00     12.40     0.155     0.044
    23.00     13.00     0.152     0.036
    23.00     13.60     0.150     0.036
    23.00     14.20     0.143     0.028
    23.00     14.80     0.146     0.028
    23.00     15.40     0.144     0.028
    23.00     16.00     0.136     0.028
    23.00     16.60     0.140     0.028
    23.00     17.20     0.147     0.032
    23.00     17.80     0.140     0.024
    23.00     18.40     0.134     0.028
    23.00     19.00     0.131     0.028
    23.00     19.60     0.131     0.028
    23.00     20.20     0.116     0.032
    23.00     20.80     0.101     0.032
    23.00     21.40     0.083     0.032
    23.00     22.00     0.061     0.032
    23.00     22.60     0.046     0.024
    23.00     23.20     0.024     0.024
    23.00     23.80     0.019     0.020
    23.00     24.40     0.007     0.012
    23.00     25.00     0.005     0.008
    23.00     25.60     0.001     0.000
    23.00     26.20     0.000     0.000
    23.80    -29.00     0.000     0.000
    23.80    -28.40     0.001     0.004
    23.80    -27.80     0.002     0.004
    23.80    -27.20     0.000     0.000
    23.80    -26.60     0.001     0.000
    23.80    -26.00     0.001     0.000
    23.80    -25.40     0.003     0.004
    23.80    -24.80     0.009     0.008
    23.80    -24.20     0.013     0.008
    23.80    -23.60     0.022     0.016
    23.80    -23.00     0.050     0.020
    23.80    -22.40     0.065     0.024
    23.80    -21.80     0.074     0.024
    23.80    -21.20     0.084     0.028
    23.80    -20.60     0.099     0.028
    23.80    -20.00     0.100     0.024
    23.80    -19.40     0.101     0.024
    23.80    -18.80     0.092     0.028
    23.80    -18.20     0.105     0.024
    23.80    -17.60     0.106     0.024
    23.80    -17.00     0.102     0.024
    23.80    -16.40     0.103     0.028
    23.80    -15.80     0.110     0.040
    23.80    -15.20     0.117     0.044
